name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,real_time_diff,cpu_time_idff,match
Client: RC4-MD5/100/0/1/4/iterations:100/repeats:1,100,5862.4,5871.55,ns,Client: RC4-MD5/100/0/1/4/iterations:100/repeats:1,100,5887.11,5889.91,-0.004214997,-0.003126943,Match
Client: RC4-MD5/10000/0/1/4/iterations:100/repeats:1,100,71247,71268.8,ns,Client: RC4-MD5/10000/0/1/4/iterations:100/repeats:1,100,77414.2,77407.7,-0.086560838,-0.086137272,Match
Client: RC4-MD5/1000000/0/1/4/iterations:100/repeats:1,100,1.32E+07,6.60E+06,ns,Client: RC4-MD5/1000000/0/1/4/iterations:100/repeats:1,100,1.48E+07,7.18E+06,-0.120507977,-0.087357433,Match
Client: RC4-SHA/100/1/1/4/iterations:100/repeats:1,100,32901.7,12359.8,ns,Client: RC4-SHA/100/1/1/4/iterations:100/repeats:1,100,33348.4,12481.9,-0.013576806,-0.009878801,Match
Client: RC4-SHA/10000/1/1/4/iterations:100/repeats:1,100,155488,70547.8,ns,Client: RC4-SHA/10000/1/1/4/iterations:100/repeats:1,100,166207,75672.5,-0.068937796,-0.072641528,Match
Client: RC4-SHA/1000000/1/1/4/iterations:100/repeats:1,100,1.19E+07,5.78E+06,ns,Client: RC4-SHA/1000000/1/1/4/iterations:100/repeats:1,100,1.29E+07,6.33E+06,-0.090363171,-0.094332278,Match
Client: DES-CBC3-SHA/100/2/1/4/iterations:100/repeats:1,100,52572.9,23190.8,ns,Client: DES-CBC3-SHA/100/2/1/4/iterations:100/repeats:1,100,54170.7,23399.8,-0.030392084,-0.009012194,Match
Client: DES-CBC3-SHA/10000/2/1/4/iterations:100/repeats:1,100,1.28E+06,643597,ns,Client: DES-CBC3-SHA/10000/2/1/4/iterations:100/repeats:1,100,1.38E+06,691526,-0.071506954,-0.074470515,Match
Client: DES-CBC3-SHA/1000000/2/1/4/iterations:100/repeats:1,100,1.24E+08,6.25E+07,ns,Client: DES-CBC3-SHA/1000000/2/1/4/iterations:100/repeats:1,100,1.33E+08,6.75E+07,-0.076012245,-0.080053262,Match
Client: DHE-RSA-DES-CBC3-SHA/100/3/1/4/iterations:100/repeats:1,100,51870.9,23103.4,ns,Client: DHE-RSA-DES-CBC3-SHA/100/3/1/4/iterations:100/repeats:1,100,54656.4,24177.1,-0.05370063,-0.046473679,Match
Client: DHE-RSA-DES-CBC3-SHA/10000/3/1/4/iterations:100/repeats:1,100,1.28E+06,641097,ns,Client: DHE-RSA-DES-CBC3-SHA/10000/3/1/4/iterations:100/repeats:1,100,1.37E+06,691134,-0.074700962,-0.078049032,Match
Client: DHE-RSA-DES-CBC3-SHA/1000000/3/1/4/iterations:100/repeats:1,100,1.24E+08,6.25E+07,ns,Client: DHE-RSA-DES-CBC3-SHA/1000000/3/1/4/iterations:100/repeats:1,100,1.33E+08,6.75E+07,-0.076371564,-0.080152873,Match
Client: AES128-SHA/100/4/1/4/iterations:100/repeats:1,100,36707.3,15282,ns,Client: AES128-SHA/100/4/1/4/iterations:100/repeats:1,100,38920.9,16947.2,FALSE,-0.108964795,Match
Client: AES128-SHA/10000/4/1/4/iterations:100/repeats:1,100,124019,62062.8,ns,Client: AES128-SHA/10000/4/1/4/iterations:100/repeats:1,100,120878,56340.3,0.025326764,0.092204992,Match
Client: AES128-SHA/1000000/4/1/4/iterations:100/repeats:1,100,8.29E+06,4.63E+06,ns,Client: AES128-SHA/1000000/4/1/4/iterations:100/repeats:1,100,7.63E+06,3.89E+06,0.079176015,0.160019365,Match
Client: DHE-RSA-AES128-SHA/100/5/1/4/iterations:100/repeats:1,100,36479.4,15601.8,ns,Client: DHE-RSA-AES128-SHA/100/5/1/4/iterations:100/repeats:1,100,38561.8,17185.4,-0.057084272,-0.101501109,Match
Client: DHE-RSA-AES128-SHA/10000/5/1/4/iterations:100/repeats:1,100,123397,62506.7,ns,Client: DHE-RSA-AES128-SHA/10000/5/1/4/iterations:100/repeats:1,100,121049,57105.8,0.019028015,0.086405137,Match
Client: DHE-RSA-AES128-SHA/1000000/5/1/4/iterations:100/repeats:1,100,8.25E+06,4.62E+06,ns,Client: DHE-RSA-AES128-SHA/1000000/5/1/4/iterations:100/repeats:1,100,7.63E+06,3.89E+06,0.074696697,0.158820411,Match
Client: AES256-SHA/100/6/1/4/iterations:100/repeats:1,100,37088.3,15405.3,ns,Client: AES256-SHA/100/6/1/4/iterations:100/repeats:1,100,38558.1,17151.8,-0.039629748,-0.113370074,Match
Client: AES256-SHA/10000/6/1/4/iterations:100/repeats:1,100,130087,67343.3,ns,Client: AES256-SHA/10000/6/1/4/iterations:100/repeats:1,100,123929,58182.4,0.047337551,0.136032835,Match
Client: AES256-SHA/1000000/6/1/4/iterations:100/repeats:1,100,8.97E+06,5.19E+06,ns,Client: AES256-SHA/1000000/6/1/4/iterations:100/repeats:1,100,7.97E+06,4.09E+06,0.111696838,0.212114083,Match
Client: DHE-RSA-AES256-SHA/100/7/1/4/iterations:100/repeats:1,100,36896.8,15539.4,ns,Client: DHE-RSA-AES256-SHA/100/7/1/4/iterations:100/repeats:1,100,38678.2,17200.4,-0.04828061,-0.106889584,Match
Client: DHE-RSA-AES256-SHA/10000/7/1/4/iterations:100/repeats:1,100,130323,67885.8,ns,Client: DHE-RSA-AES256-SHA/10000/7/1/4/iterations:100/repeats:1,100,123635,58689.9,0.051318647,0.135461319,Match
Client: DHE-RSA-AES256-SHA/1000000/7/1/4/iterations:100/repeats:1,100,8.94E+06,5.18E+06,ns,Client: DHE-RSA-AES256-SHA/1000000/7/1/4/iterations:100/repeats:1,100,7.97E+06,4.08E+06,0.109114733,0.211009086,Match
Client: AES128-SHA256/100/8/1/4/iterations:100/repeats:1,100,38661.8,16167.2,ns,Client: AES128-SHA256/100/8/1/4/iterations:100/repeats:1,100,40894,17798.6,-0.057736577,-0.100908011,Match
Client: AES128-SHA256/10000/8/1/4/iterations:100/repeats:1,100,184210,91975.8,ns,Client: AES128-SHA256/10000/8/1/4/iterations:100/repeats:1,100,168237,78942.2,0.086710819,0.14170684,Match
Client: AES128-SHA256/1000000/8/1/4/iterations:100/repeats:1,100,1.43E+07,7.61E+06,ns,Client: AES128-SHA256/1000000/8/1/4/iterations:100/repeats:1,100,1.23E+07,6.18E+06,0.134764502,0.187961848,Match
Client: AES256-SHA256/100/9/1/4/iterations:100/repeats:1,100,38458.7,16145.6,ns,Client: AES256-SHA256/100/9/1/4/iterations:100/repeats:1,100,40455.2,17675.8,-0.051912831,-0.094775047,Match
Client: AES256-SHA256/10000/9/1/4/iterations:100/repeats:1,100,190871,97571.4,ns,Client: AES256-SHA256/10000/9/1/4/iterations:100/repeats:1,100,168845,79063,0.11539731,0.189690832,Match
Client: AES256-SHA256/1000000/9/1/4/iterations:100/repeats:1,100,1.50E+07,8.17E+06,ns,Client: AES256-SHA256/1000000/9/1/4/iterations:100/repeats:1,100,1.25E+07,6.19E+06,0.163878662,0.242473886,Match
Client: DHE-RSA-AES128-SHA256/100/10/1/4/iterations:100/repeats:1,100,38020.2,16237,ns,Client: DHE-RSA-AES128-SHA256/100/10/1/4/iterations:100/repeats:1,100,40525.8,17908.6,-0.06590181,-0.102950052,Match
Client: DHE-RSA-AES128-SHA256/10000/10/1/4/iterations:100/repeats:1,100,183268,92281.2,ns,Client: DHE-RSA-AES128-SHA256/10000/10/1/4/iterations:100/repeats:1,100,167826,79515.1,0.084259118,0.13833912,Match
Client: DHE-RSA-AES128-SHA256/1000000/10/1/4/iterations:100/repeats:1,100,1.43E+07,7.60E+06,ns,Client: DHE-RSA-AES128-SHA256/1000000/10/1/4/iterations:100/repeats:1,100,1.23E+07,6.17E+06,0.133569549,0.187486096,Match
Client: DHE-RSA-AES256-SHA256/100/11/1/4/iterations:100/repeats:1,100,38168,16342.7,ns,Client: DHE-RSA-AES256-SHA256/100/11/1/4/iterations:100/repeats:1,100,40501.7,17832.2,-0.061142842,-0.091141611,Match
Client: DHE-RSA-AES256-SHA256/10000/11/1/4/iterations:100/repeats:1,100,189994,97772.7,ns,Client: DHE-RSA-AES256-SHA256/10000/11/1/4/iterations:100/repeats:1,100,168953,79538.2,0.110745602,0.18649889,Match
Client: DHE-RSA-AES256-SHA256/1000000/11/1/4/iterations:100/repeats:1,100,1.49E+07,8.15E+06,ns,Client: DHE-RSA-AES256-SHA256/1000000/11/1/4/iterations:100/repeats:1,100,1.25E+07,6.19E+06,0.160493329,0.240228738,Match
Client: AES128-GCM-SHA256/100/12/1/4/iterations:100/repeats:1,100,32214.1,12215.5,ns,Client: AES128-GCM-SHA256/100/12/1/4/iterations:100/repeats:1,100,32301.8,12405.6,-0.00272241,-0.015562196,Match
Client: AES128-GCM-SHA256/10000/12/1/4/iterations:100/repeats:1,100,66323,26292.1,ns,Client: AES128-GCM-SHA256/10000/12/1/4/iterations:100/repeats:1,100,66951.7,26683.3,-0.009479366,-0.014878994,Match
Client: AES128-GCM-SHA256/1000000/12/1/4/iterations:100/repeats:1,100,2.66E+06,1.23E+06,ns,Client: AES128-GCM-SHA256/1000000/12/1/4/iterations:100/repeats:1,100,2.74E+06,1.27E+06,-0.029674807,-0.030083747,Match
Client: AES256-GCM-SHA384/100/13/1/4/iterations:100/repeats:1,100,31822.2,12063.2,ns,Client: AES256-GCM-SHA384/100/13/1/4/iterations:100/repeats:1,100,32303.2,12443.8,-0.015115234,-0.031550501,Match
Client: AES256-GCM-SHA384/10000/13/1/4/iterations:100/repeats:1,100,68430.8,27569,ns,Client: AES256-GCM-SHA384/10000/13/1/4/iterations:100/repeats:1,100,68133.6,27571.9,0.004343074,-0.000105191,Match
Client: AES256-GCM-SHA384/1000000/13/1/4/iterations:100/repeats:1,100,2.94E+06,1.37E+06,ns,Client: AES256-GCM-SHA384/1000000/13/1/4/iterations:100/repeats:1,100,3.00E+06,1.40E+06,-0.022814646,-0.022625492,Match
Client: DHE-RSA-AES128-GCM-SHA256/100/14/1/4/iterations:100/repeats:1,100,31468.7,12252.4,ns,Client: DHE-RSA-AES128-GCM-SHA256/100/14/1/4/iterations:100/repeats:1,100,32126.7,12529.4,-0.020909666,-0.022607816,Match
Client: DHE-RSA-AES128-GCM-SHA256/10000/14/1/4/iterations:100/repeats:1,100,64471.2,25966.9,ns,Client: DHE-RSA-AES128-GCM-SHA256/10000/14/1/4/iterations:100/repeats:1,100,65053.7,26685.6,-0.009035042,-0.027677543,Match
Client: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/4/iterations:100/repeats:1,100,2.66E+06,1.23E+06,ns,Client: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/4/iterations:100/repeats:1,100,2.72E+06,1.27E+06,-0.022606143,-0.029181015,Match
Client: DHE-RSA-AES256-GCM-SHA384/100/15/1/4/iterations:100/repeats:1,100,31676.1,12373.1,ns,Client: DHE-RSA-AES256-GCM-SHA384/100/15/1/4/iterations:100/repeats:1,100,31932.7,12511.1,-0.008100745,-0.011153228,Match
Client: DHE-RSA-AES256-GCM-SHA384/10000/15/1/4/iterations:100/repeats:1,100,66512.3,27174.9,ns,Client: DHE-RSA-AES256-GCM-SHA384/10000/15/1/4/iterations:100/repeats:1,100,68720.1,28133.6,-0.03319386,-0.035278879,Match
Client: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/4/iterations:100/repeats:1,100,2.94E+06,1.37E+06,ns,Client: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/4/iterations:100/repeats:1,100,3.00E+06,1.40E+06,-0.020442884,-0.024825316,Match
Client: ECDHE-ECDSA-AES128-SHA/100/16/1/4/iterations:100/repeats:1,100,37281.7,15568.5,ns,Client: ECDHE-ECDSA-AES128-SHA/100/16/1/4/iterations:100/repeats:1,100,39244.1,17274.8,-0.052637085,-0.109599512,Match
Client: ECDHE-ECDSA-AES128-SHA/10000/16/1/4/iterations:100/repeats:1,100,124334,62710.5,ns,Client: ECDHE-ECDSA-AES128-SHA/10000/16/1/4/iterations:100/repeats:1,100,119914,56061.5,0.035549407,0.106026901,Match
Client: ECDHE-ECDSA-AES128-SHA/1000000/16/1/4/iterations:100/repeats:1,100,8.23E+06,4.62E+06,ns,Client: ECDHE-ECDSA-AES128-SHA/1000000/16/1/4/iterations:100/repeats:1,100,7.61E+06,3.88E+06,0.074744504,0.159996624,Match
Client: ECDHE-ECDSA-AES256-SHA/100/17/1/4/iterations:100/repeats:1,100,37168.1,15471.3,ns,Client: ECDHE-ECDSA-AES256-SHA/100/17/1/4/iterations:100/repeats:1,100,38904,17108,-0.046704028,-0.105789429,Match
Client: ECDHE-ECDSA-AES256-SHA/10000/17/1/4/iterations:100/repeats:1,100,131438,68260.8,ns,Client: ECDHE-ECDSA-AES256-SHA/10000/17/1/4/iterations:100/repeats:1,100,123433,58391.4,0.06090324,0.144583714,Match
Client: ECDHE-ECDSA-AES256-SHA/1000000/17/1/4/iterations:100/repeats:1,100,8.91E+06,5.17E+06,ns,Client: ECDHE-ECDSA-AES256-SHA/1000000/17/1/4/iterations:100/repeats:1,100,7.95E+06,4.09E+06,0.107817846,0.209418248,Match
Client: ECDHE-RSA-RC4-SHA/100/18/1/4/iterations:100/repeats:1,100,33016.6,12326.7,ns,Client: ECDHE-RSA-RC4-SHA/100/18/1/4/iterations:100/repeats:1,100,33240.4,12236.1,-0.006778408,0.007349899,Match
Client: ECDHE-RSA-RC4-SHA/10000/18/1/4/iterations:100/repeats:1,100,157460,71321.7,ns,Client: ECDHE-RSA-RC4-SHA/10000/18/1/4/iterations:100/repeats:1,100,166601,75704.8,-0.058052839,-0.061455349,Match
