name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,time_unit,real_time_diff,cpu_time_idff,match
Server: RC4-MD5/100/0/1/5/iterations:100/repeats:1,100,7511.59,7520.23,ns,Server: RC4-MD5/100/0/1/5/iterations:100/repeats:1,100,7369.4,7376.18,ns,0.018929414,0.019529079,mathc
Server: RC4-MD5/10000/0/1/5/iterations:100/repeats:1,100,844199,72788.2,ns,Server: RC4-MD5/10000/0/1/5/iterations:100/repeats:1,100,79206.6,79217.2,ns,0.90617544,-0.081156618,mathc
Server: RC4-MD5/1000000/0/1/5/iterations:100/repeats:1,100,1.43E+07,6.76E+06,ns,Server: RC4-MD5/1000000/0/1/5/iterations:100/repeats:1,100,1.74E+07,7.51E+06,ns,-0.219186136,-0.098660385,mathc
Server: RC4-SHA/100/1/1/5/iterations:100/repeats:1,100,13194.2,13174.1,ns,Server: RC4-SHA/100/1/1/5/iterations:100/repeats:1,100,13515.6,13482,ns,-0.024359188,-0.022837858,mathc
Server: RC4-SHA/10000/1/1/5/iterations:100/repeats:1,100,94980.5,76944.2,ns,Server: RC4-SHA/10000/1/1/5/iterations:100/repeats:1,100,102354,82693.1,ns,-0.077631724,-0.069520915,mathc
Server: RC4-SHA/1000000/1/1/5/iterations:100/repeats:1,100,1.31E+07,6.09E+06,ns,Server: RC4-SHA/1000000/1/1/5/iterations:100/repeats:1,100,1.57E+07,6.61E+06,ns,-0.201895706,-0.07951425,mathc
Server: DES-CBC3-SHA/100/2/1/5/iterations:100/repeats:1,100,21824.4,21815.9,ns,Server: DES-CBC3-SHA/100/2/1/5/iterations:100/repeats:1,100,22973.7,22936.2,ns,-0.052661242,-0.048844185,mathc
Server: DES-CBC3-SHA/10000/2/1/5/iterations:100/repeats:1,100,756363,631495,ns,Server: DES-CBC3-SHA/10000/2/1/5/iterations:100/repeats:1,100,808665,675268,ns,-0.069149337,-0.064823152,mathc
Server: DES-CBC3-SHA/1000000/2/1/5/iterations:100/repeats:1,100,1.25E+08,6.13E+07,ns,Server: DES-CBC3-SHA/1000000/2/1/5/iterations:100/repeats:1,100,1.36E+08,6.57E+07,ns,-0.087749484,-0.06703296,mathc
Server: DHE-RSA-DES-CBC3-SHA/100/3/1/5/iterations:100/repeats:1,100,21055.1,21040.5,ns,Server: DHE-RSA-DES-CBC3-SHA/100/3/1/5/iterations:100/repeats:1,100,22491.2,22454.8,ns,-0.068206753,-0.062984306,mathc
Server: DHE-RSA-DES-CBC3-SHA/10000/3/1/5/iterations:100/repeats:1,100,797455,630203,ns,Server: DHE-RSA-DES-CBC3-SHA/10000/3/1/5/iterations:100/repeats:1,100,857125,675172,ns,-0.074825539,-0.066603769,mathc
Server: DHE-RSA-DES-CBC3-SHA/1000000/3/1/5/iterations:100/repeats:1,100,1.25E+08,6.13E+07,ns,Server: DHE-RSA-DES-CBC3-SHA/1000000/3/1/5/iterations:100/repeats:1,100,1.36E+08,6.58E+07,ns,-0.087846864,-0.067237703,mathc
Server: AES128-SHA/100/4/1/5/iterations:100/repeats:1,100,13980.3,13978.5,ns,Server: AES128-SHA/100/4/1/5/iterations:100/repeats:1,100,14447.5,14419.3,ns,-0.033418453,-0.030570139,mathc
Server: AES128-SHA/10000/4/1/5/iterations:100/repeats:1,100,72528.9,54188.7,ns,Server: AES128-SHA/10000/4/1/5/iterations:100/repeats:1,100,75556.6,56584.6,ns,-0.041744739,-0.042341909,mathc
Server: AES128-SHA/1000000/4/1/5/iterations:100/repeats:1,100,9.57E+06,3.65E+06,ns,Server: AES128-SHA/1000000/4/1/5/iterations:100/repeats:1,100,1.04E+07,3.74E+06,ns,-0.090169324,-0.021938009,mathc
Server: DHE-RSA-AES128-SHA/100/5/1/5/iterations:100/repeats:1,100,13330.9,13309.9,ns,Server: DHE-RSA-AES128-SHA/100/5/1/5/iterations:100/repeats:1,100,13723.6,13692.4,ns,-0.029457876,-0.027935205,mathc
Server: DHE-RSA-AES128-SHA/10000/5/1/5/iterations:100/repeats:1,100,76214.4,53298.8,ns,Server: DHE-RSA-AES128-SHA/10000/5/1/5/iterations:100/repeats:1,100,76069.9,56009.5,ns,0.001895967,-0.048397147,mathc
Server: DHE-RSA-AES128-SHA/1000000/5/1/5/iterations:100/repeats:1,100,9.50E+06,3.62E+06,ns,Server: DHE-RSA-AES128-SHA/1000000/5/1/5/iterations:100/repeats:1,100,1.05E+07,3.73E+06,ns,-0.099631299,-0.030915159,mathc
Server: AES256-SHA/100/6/1/5/iterations:100/repeats:1,100,14189.8,14196,ns,Server: AES256-SHA/100/6/1/5/iterations:100/repeats:1,100,13932.3,13892.1,ns,0.018146838,0.021875742,mathc
Server: AES256-SHA/10000/6/1/5/iterations:100/repeats:1,100,74178,55047.2,ns,Server: AES256-SHA/10000/6/1/5/iterations:100/repeats:1,100,77311.1,57870.1,ns,-0.042237591,-0.04877994,mathc
Server: AES256-SHA/1000000/6/1/5/iterations:100/repeats:1,100,1.02E+07,3.78E+06,ns,Server: AES256-SHA/1000000/6/1/5/iterations:100/repeats:1,100,1.07E+07,3.87E+06,ns,-0.053558644,-0.024671469,mathc
Server: DHE-RSA-AES256-SHA/100/7/1/5/iterations:100/repeats:1,100,13779.3,13785.3,ns,Server: DHE-RSA-AES256-SHA/100/7/1/5/iterations:100/repeats:1,100,13810.3,13784.3,ns,-0.002249751,7.25463E-05,mathc
Server: DHE-RSA-AES256-SHA/10000/7/1/5/iterations:100/repeats:1,100,78811.9,54806.1,ns,Server: DHE-RSA-AES256-SHA/10000/7/1/5/iterations:100/repeats:1,100,82096.7,57018.6,ns,-0.041678985,-0.038803127,mathc
Server: DHE-RSA-AES256-SHA/1000000/7/1/5/iterations:100/repeats:1,100,1.02E+07,3.76E+06,ns,Server: DHE-RSA-AES256-SHA/1000000/7/1/5/iterations:100/repeats:1,100,1.08E+07,3.88E+06,ns,-0.051992016,-0.029614073,mathc
Server: AES128-SHA256/100/8/1/5/iterations:100/repeats:1,100,14890.4,14897.8,ns,Server: AES128-SHA256/100/8/1/5/iterations:100/repeats:1,100,15459.3,15418,ns,-0.038205824,-0.033739785,mathc
Server: AES128-SHA256/10000/8/1/5/iterations:100/repeats:1,100,108432,84397.1,ns,Server: AES128-SHA256/10000/8/1/5/iterations:100/repeats:1,100,104446,81134.5,ns,0.036760366,0.04021224,mathc
Server: AES128-SHA256/1000000/8/1/5/iterations:100/repeats:1,100,1.55E+07,6.65E+06,ns,Server: AES128-SHA256/1000000/8/1/5/iterations:100/repeats:1,100,1.51E+07,6.16E+06,ns,0.026149772,0.080368121,mathc
Server: AES256-SHA256/100/9/1/5/iterations:100/repeats:1,100,14844,14848.6,ns,Server: AES256-SHA256/100/9/1/5/iterations:100/repeats:1,100,15246.6,15211.2,ns,-0.02712207,-0.023837699,mathc
Server: AES256-SHA256/10000/9/1/5/iterations:100/repeats:1,100,110446,85482.5,ns,Server: AES256-SHA256/10000/9/1/5/iterations:100/repeats:1,100,104957,81783.2,ns,0.049698495,0.045233006,mathc
Server: AES256-SHA256/1000000/9/1/5/iterations:100/repeats:1,100,1.62E+07,6.82E+06,ns,Server: AES256-SHA256/1000000/9/1/5/iterations:100/repeats:1,100,1.53E+07,6.34E+06,ns,0.053861281,0.075527533,mathc
Server: DHE-RSA-AES128-SHA256/100/10/1/5/iterations:100/repeats:1,100,14164.2,14152.9,ns,Server: DHE-RSA-AES128-SHA256/100/10/1/5/iterations:100/repeats:1,100,14825.8,14793.9,ns,-0.046709309,-0.043328669,mathc
Server: DHE-RSA-AES128-SHA256/10000/10/1/5/iterations:100/repeats:1,100,113947,83514.8,ns,Server: DHE-RSA-AES128-SHA256/10000/10/1/5/iterations:100/repeats:1,100,110855,80464.9,ns,0.027135423,0.037903483,mathc
Server: DHE-RSA-AES128-SHA256/1000000/10/1/5/iterations:100/repeats:1,100,1.55E+07,6.65E+06,ns,Server: DHE-RSA-AES128-SHA256/1000000/10/1/5/iterations:100/repeats:1,100,1.52E+07,6.17E+06,ns,0.020259922,0.078134019,mathc
Server: DHE-RSA-AES256-SHA256/100/11/1/5/iterations:100/repeats:1,100,14289.9,14162.5,ns,Server: DHE-RSA-AES256-SHA256/100/11/1/5/iterations:100/repeats:1,100,14934.6,14905,ns,-0.045115781,-0.049815498,mathc
Server: DHE-RSA-AES256-SHA256/10000/11/1/5/iterations:100/repeats:1,100,116329,84600.9,ns,Server: DHE-RSA-AES256-SHA256/10000/11/1/5/iterations:100/repeats:1,100,112009,81604,ns,0.037136054,0.036724915,mathc
Server: DHE-RSA-AES256-SHA256/1000000/11/1/5/iterations:100/repeats:1,100,1.61E+07,6.72E+06,ns,Server: DHE-RSA-AES256-SHA256/1000000/11/1/5/iterations:100/repeats:1,100,1.52E+07,6.28E+06,ns,0.053228084,0.068910761,mathc
Server: AES128-GCM-SHA256/100/12/1/5/iterations:100/repeats:1,100,12439.8,12430.1,ns,Server: AES128-GCM-SHA256/100/12/1/5/iterations:100/repeats:1,100,12565.7,12535.7,ns,-0.010120741,-0.008423941,mathc
Server: AES128-GCM-SHA256/10000/12/1/5/iterations:100/repeats:1,100,43027.6,32371.1,ns,Server: AES128-GCM-SHA256/10000/12/1/5/iterations:100/repeats:1,100,43304.6,32509.2,ns,-0.006437728,-0.004248028,mathc
Server: AES128-GCM-SHA256/1000000/12/1/5/iterations:100/repeats:1,100,3.86E+06,1.42E+06,ns,Server: AES128-GCM-SHA256/1000000/12/1/5/iterations:100/repeats:1,100,5.50E+06,1.46E+06,ns,-0.424660654,-0.02702481,mathc
Server: AES256-GCM-SHA384/100/13/1/5/iterations:100/repeats:1,100,12486.7,12486.2,ns,Server: AES256-GCM-SHA384/100/13/1/5/iterations:100/repeats:1,100,12564.4,12524.5,ns,-0.006222621,-0.003058006,mathc
Server: AES256-GCM-SHA384/10000/13/1/5/iterations:100/repeats:1,100,44224.6,33251,ns,Server: AES256-GCM-SHA384/10000/13/1/5/iterations:100/repeats:1,100,43521.5,32864.3,ns,0.015898391,0.011766567,mathc
Server: AES256-GCM-SHA384/1000000/13/1/5/iterations:100/repeats:1,100,4.18E+06,1.56E+06,ns,Server: AES256-GCM-SHA384/1000000/13/1/5/iterations:100/repeats:1,100,5.82E+06,1.60E+06,ns,-0.392626327,-0.02087459,mathc
Server: DHE-RSA-AES128-GCM-SHA256/100/14/1/5/iterations:100/repeats:1,100,11808,11789.5,ns,Server: DHE-RSA-AES128-GCM-SHA256/100/14/1/5/iterations:100/repeats:1,100,12165.3,12113.2,ns,-0.030259146,-0.026722914,mathc
Server: DHE-RSA-AES128-GCM-SHA256/10000/14/1/5/iterations:100/repeats:1,100,43167.7,31124.5,ns,Server: DHE-RSA-AES128-GCM-SHA256/10000/14/1/5/iterations:100/repeats:1,100,45042,30883.4,ns,-0.043419038,0.007806783,mathc
Server: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/5/iterations:100/repeats:1,100,3.93E+06,1.43E+06,ns,Server: DHE-RSA-AES128-GCM-SHA256/1000000/14/1/5/iterations:100/repeats:1,100,5.53E+06,1.45E+06,ns,-0.407670993,-0.015395439,mathc
Server: DHE-RSA-AES256-GCM-SHA384/100/15/1/5/iterations:100/repeats:1,100,11681.2,11656.2,ns,Server: DHE-RSA-AES256-GCM-SHA384/100/15/1/5/iterations:100/repeats:1,100,11991.6,11968.3,ns,-0.026572612,-0.026077221,mathc
Server: DHE-RSA-AES256-GCM-SHA384/10000/15/1/5/iterations:100/repeats:1,100,44316.8,32039.1,ns,Server: DHE-RSA-AES256-GCM-SHA384/10000/15/1/5/iterations:100/repeats:1,100,47373.1,32771.4,ns,-0.068964817,-0.022345704,mathc
Server: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/5/iterations:100/repeats:1,100,4.17E+06,1.57E+06,ns,Server: DHE-RSA-AES256-GCM-SHA384/1000000/15/1/5/iterations:100/repeats:1,100,5.77E+06,1.59E+06,ns,-0.381075915,-0.015236754,mathc
Server: ECDHE-ECDSA-AES128-SHA/100/16/1/5/iterations:100/repeats:1,100,14179.2,14185.5,ns,Server: ECDHE-ECDSA-AES128-SHA/100/16/1/5/iterations:100/repeats:1,100,14433.8,14397.1,ns,-0.017955879,-0.014697404,mathc
Server: ECDHE-ECDSA-AES128-SHA/10000/16/1/5/iterations:100/repeats:1,100,72149.9,53824.2,ns,Server: ECDHE-ECDSA-AES128-SHA/10000/16/1/5/iterations:100/repeats:1,100,74619.8,55876.4,ns,-0.034232896,-0.036727491,mathc
Server: ECDHE-ECDSA-AES128-SHA/1000000/16/1/5/iterations:100/repeats:1,100,9.43E+06,3.60E+06,ns,Server: ECDHE-ECDSA-AES128-SHA/1000000/16/1/5/iterations:100/repeats:1,100,1.04E+07,3.72E+06,ns,-0.106761872,-0.032411063,mathc
Server: ECDHE-ECDSA-AES256-SHA/100/17/1/5/iterations:100/repeats:1,100,14240.9,14248.6,ns,Server: ECDHE-ECDSA-AES256-SHA/100/17/1/5/iterations:100/repeats:1,100,14297.4,14275.3,ns,-0.003967446,-0.001870363,mathc
Server: ECDHE-ECDSA-AES256-SHA/10000/17/1/5/iterations:100/repeats:1,100,74505.3,55277.5,ns,Server: ECDHE-ECDSA-AES256-SHA/10000/17/1/5/iterations:100/repeats:1,100,76603.1,57204.9,ns,-0.028156386,-0.033692918,mathc
Server: ECDHE-ECDSA-AES256-SHA/1000000/17/1/5/iterations:100/repeats:1,100,1.01E+07,3.74E+06,ns,Server: ECDHE-ECDSA-AES256-SHA/1000000/17/1/5/iterations:100/repeats:1,100,1.07E+07,3.86E+06,ns,-0.060362689,-0.030991998,mathc
Server: ECDHE-RSA-RC4-SHA/100/18/1/5/iterations:100/repeats:1,100,13370.6,13375.5,ns,Server: ECDHE-RSA-RC4-SHA/100/18/1/5/iterations:100/repeats:1,100,13618,13578,ns,-0.018503283,-0.014913831,mathc
Server: ECDHE-RSA-RC4-SHA/10000/18/1/5/iterations:100/repeats:1,100,97628.9,78453.1,ns,Server: ECDHE-RSA-RC4-SHA/10000/18/1/5/iterations:100/repeats:1,100,102199,82970.1,ns,-0.046810934,-0.054441299,mathc
